Food,BN2 burst duration (s),BN2 burst mean rectified voltage (Î¼V),Force peak (mN)
Fresh food,5.104272,3.701230935,
Fresh food,4.578123,3.720747356,
Fresh food,4.394745,5.83741526,
Fresh food,2.560961,5.651308986,
Fresh food,2.206877,4.842579159,
Fresh food,2.145751,5.856745571,
Fresh food,4.333619,7.078805312,
Fresh food,3.966862,7.999432513,
Fresh food,2.886156,6.302593743,
Fresh food,3.523256,5.612017142,
Fresh food,2.209236,4.425037476,
Fresh food,2.846337,5.276737034,
Fresh food,2.049961,4.361882482,
Fresh food,4.160357,7.340622385,
Fresh food,2.368511,4.345567391,
Fresh food,3.324162,8.670847105,
Fresh food,2.72688,6.205505617,
Fresh food,2.172219,5.424747627,
Fresh food,4.270242,7.251050373,
Fresh food,1.553131,4.103247708,
Fresh food,1.16398,4.638411259,
Fresh food,1.714281,3.951960358,
Fresh food,2.780489,6.300700674,
Fresh food,1.129586,7.686486517,
Fresh food,1.381162,3.918601069,
Fresh food,1.862675,3.611384507,
Fresh food,1.621918,3.428282576,
Fresh food,1.849673,2.978626335,
Fresh food,1.553131,3.463101183,
Fresh food,1.656312,3.031997415,
Fresh food,1.484343,2.955584965,
Fresh food,1.449949,3.080798365,
Fresh food,1.637876,3.087022065,
Fresh food,0.846819,3.621196547,
Fresh food,1.465907,3.304594969,
Fresh food,1.156363,3.41640193,
Fresh food,1.706664,2.653794667,
Fresh food,1.569089,3.401306235,
Fresh food,1.293938,2.76428751,
Fresh food,1.569089,2.626379553,
Fresh food,1.569089,2.543218545,
Fresh food,1.121969,3.143460229,
Fresh food,1.500301,3.534967068,
Fresh food,1.809845,3.020807671,
Fresh food,1.637876,2.811234399,
Fresh food,1.21681,3.370246262,
Fresh food,1.767111,3.470838901,
Fresh food,4.140284,7.458483755,
Fresh food,2.730138,7.625191256,
Fresh food,3.177257,7.704290103,
Fresh food,4.415434,8.996044093,
Regular nori,1.755906,1.838058219,
Regular nori,1.330709,2.003605088,
Regular nori,1.456693,1.888854972,
Regular nori,1.80315,1.755834463,
Regular nori,1.645669,1.698969295,
Regular nori,2.470337,2.132710121,
Regular nori,2.958155,2.601120013,
Regular nori,1.586168,2.594316882,
Regular nori,1.433725,2.685086416,
Regular nori,1.128839,2.064905036,
Tape nori,5.753363,2.701417398,74.65557861
Tape nori,3.122571,3.411894488,107.6322708
Tape nori,2.554559,3.320115169,135.5708618
Tape nori,2.823617,3.215036684,145.1890564
Tape nori,3.272048,2.543743202,115.4184341
Tape nori,2.943199,2.936950114,122.7465973
Tape nori,2.733931,3.509722845,178.623764
Tape nori,2.524664,4.09450144,197.4021606
Tape nori,4.698411,2.807633033,147.9371185
Tape nori,4.803914,3.692821335,217.0965881
Tape nori,3.195,3.929992648,305.95047
Tape nori,2.904868,3.635218577,264.7295837
Tape nori,3.021741,3.357803942,271.5997314
Tape nori,3.578225,3.877237634,321.5227966
Tape nori,3.10093,3.719334813,272.5157471
Tape nori,2.319902,3.976830468,263.8135986
Tape nori,3.05754,3.589609492,251.9053192
Tape nori,3.448054,3.505205211,325.6448669
Tape nori,2.606207,2.351360987,54.04513931
Tape nori,6.120731,4.598915785,162.1354218
Tape nori,4.000859,4.019000274,239.0810547
Tape nori,4.335576,4.156089064,264.2715759
Tape nori,2.773566,3.568319106,242.7451324
Two-ply nori,2.962637,7.076859781,
Two-ply nori,3.152131,6.558262238,
Two-ply nori,3.06563,6.522831813,
Two-ply nori,2.694613,7.505198047,
Two-ply nori,2.500648,5.84296976,
Two-ply nori,3.190303,5.974057212,
Two-ply nori,2.91013,7.146945772,
Two-ply nori,2.354298,7.66675132,
Two-ply nori,2.921565,6.605355378,
Two-ply nori,2.22339,6.351005033,
Two-ply nori,2.703385,6.161649181,
Two-ply nori,2.965201,6.527422134,
Two-ply nori,2.594295,7.48620369,
Two-ply nori,3.423378,7.583315346,
Two-ply nori,3.137271,7.175283479,
Two-ply nori,0.694356,2.932895972,
Two-ply nori,3.379362,7.315322486,
Two-ply nori,2.499032,7.746846379,
Two-ply nori,3.995593,5.20714035,
Two-ply nori,2.750376,5.686245281,
Two-ply nori,2.956192,4.764811396,
Two-ply nori,2.247271,6.188515649,
